RefID,RefCode,RefAuthor,RefYear,Citation
409,Bourtsoukidis2014b,Bourtsoukidis,2014,"E. Bourtsoukidis, B. Bonn and S.M. Noe. ""On-line field measurements of BVOC emissions from Norway spruce (Picea abies) at the hemiboreal SMEAR-Estonia site under autumn conditions"", Boreal Environment Research, 2014, 19(3): 153-167."
328,Bracho-Nunez2011,Bracho-Nunez,2011,"29. A. Bracho-Nunez, S. Welter, M. Staudt, and J. Kesselmeier, ?Plant-specific volatile organic compound emission rates from young and mature leaves of Mediterranean vegetation,? J. Geophys. Res., 116, D16304, 2011."
419,Bracho-Nunez2013,Bracho-Nunez,2013,"A. Bracho-Nunez, N.M. Knothe, S. Welter, M. Staudt, W.R. Costa, M.A.R. Liberato, M.T.F. Piedade and J. Kesselmeier. ""Leaf level emissions of volatile organic compounds (VOC) from some Amazonian and Mediterranean plants"", Biogeosciences, 2013, 10: 5855-5873."
247,Brilli2004,Brilli,2004,Response of isoprene emission and carbon metabolism to drought in white poplar (Populus alba) saplings
197,Buckley2001,Buckley,2001,"30. P. T. Buckley, ""Isoprene emissions from a Florida scrub oak species grown in ambient and elevated carbon dioxide,"" Atmospheric Environment 35 (3), 631-634 (2001)."
51,Burr1991,Burr,1991,"31. K. E. Burr, S. J. Wallner, and R. W. Tinus, ?Ethylene and ethane evolution during cold acclimation and deacclimation of ponderosa pine,? Canadian Journal of Forestry Research, 21, 601-605, 1991."
291,Calfapietra2008,Calfapietra,2008,"32. C. Calfapietra, G. S. Mugnozza, D. F. Karnosky, F. Loreto, and T. D. Sharkey, ?Isoprene emission rates under elevated CO2 and O-3 in two field-grown aspen clones differing in their sensitivity to O-3,? New Phytologist, 179, 55-61, 2008."
107,Cao1997,Cao,1997,"33. X. L. Cao, C. Boissard, A. J. Juan, C. N. Hewitt, and M. Gallagher, Biogenic emissions of volatile organic compounds from gorse (Ulex europaeus): Diurnal emission fluxes at Kelling Heath, England,? Journal of Geophysical Research-Atmospheres, 102, 18903-18915, 1997."
345,Chang2012,Chang,2012,"34. J. Chang, Y. Ren, Y. Shi, Y. M. Zhu, Y. Ge, S. M. Hong, L. Jiao, F. M. Lin, C. H. Peng, T. Mochizuki, A. Tani, Y. Mu, and C. X. Fu, ?An inventory of biogenic volatile organic compounds for a subtropical urban-rural complex,? Atmospheric Environment, 56, 115-123, 2012."
450,Chen2009,Chen,2009,"Y. Chen, D.W. Li, Y. Shi and X.Y. He. ""Emission rate of biogenic volatile organic compounds from urban trees in Shenyang, China"", Journal of Northeast Forestry University, 2009, 37(3): 47-49; http://dx.doi.org/10.3969/j.issn.1000-5382.2009.03.018"
108,Ciccioli1997,Ciccioli,1997,"35. P. Ciccioli, C. Fabozzi, E. Brancaleoni, A. Cecinato, M. Frattoni, S. Cieslik, D. Kotzias, G. Seufert, P. Foster, and R. Steinbrecher, ?Biogenic emission from the Mediterranean Pseudosteppe ecosystem present in Castelporziano,? Atmospheric Environment, 31, 167-175, 1997."
146,Ciccioli1999,Ciccioli,1999,"11. P. Ciccioli, E. Brancaleoni, M. Frattoni, V. Di Palo, R. Valentini, G. Tirone, G. Seufert, N. Bertin, U. Hansen, O. Csiky, R. Lenz, and M. Sharma, ?Emission of reactive terpene compounds from orange orchards and their removal by within-canopy processes,? Journal of Geophysical Research-Atmospheres, 104, 8077-8094, 1999."
147,Constable1999,Constable,1999,"Constable, J. V. H., A. B. Guenther, D. S. Schimel and R. K. Monson (1999). ""Modelling changes in VOC emission in response to climate change in the continental United States."" Global Change Biology 5(7): 791-806."
346,Copeland2012,Copeland,2012,"273. N. Copeland, J. N. Cape, and M. R. Heal, ?Volatile organic compound emissions from Miscanthus and short rotation coppice willow bioenergy crops,? Atmospheric Environment, 60, 327-335, 2012."
55,Corchnoy1992,Corchnoy,1992,"36. S. Corchnoy, J. Arey, and R. Atkinson, ?Hydrocarbon emissions from twelve urban shade trees of the Los Angeles, California, air basin,? Atmospheric Environment, 26, 339-348, 1992."
423,Crespo2013,Crespo,2013,"E. Crespon, M. Graus, J.B. Gilman, B.M. Lerner, R. Fall, F.J.M. Harren and C. Warneke. ""Volatile organic compound emissions from elephant grass and bamboo cultivars used as potential bioethanol crop"". Atmospheric Environment, 2013, 65: 61-68."
16,Cronn1982,Cronn,1982,"D. R. Cronn and W. Nutmagul, ?Analysis of Atmospheric Hydrocarbons During Winter Monex,? Tellus, 34, 159-165, 1982."
26,Crutzen1985,Crutzen,1985,"P. Crutzen, M. Coffey, A. Delany, J. Greenberg, P. Haagenson, L. Heidt, R. Lueb, and P. Zimmerman, ?Observations of air composition in Brazil between the equator and 20OS during the dry season,? Acta Amazonica  15, 77-119, 1985."
148,Csiky1999,Csiky,1999,"Csiky, O. and G. Seufert (1999). ""Terpenoid emissions of Mediterranean oaks and their relation to taxonomy."" Ecological Applications 9(4): 1138-1146."
406,Curtis2014,Curtis,2014,"A.J. Curtis, D. Helmig, C. Baroch, R. Daly and S. Davis, ""Biogenic volatile organic compound emissions from nine tree species used in an urban tree-planting program"", Atmospheric Environment, 2014, 95: 634-643."
277,Custer2007,Custer,2007,"Custer, T. and G. Schade (2007). ""Methanol and acetaldehyde fluxes over ryegrass."" Tellus Series B-Chemical and Physical Meteorology 59(4): 673-684."
240,Das2003,Das,2003,"Das, M., D. Kang, V. P. Aneja, W. Lonneman, D. R. Cook and M. L. Wesely (2003). ""Measurements of hydrocarbon air-surface exchange rates over maize."" Atmospheric environment 37(16): 2269-2277."
69,Davis1994,Davis,1994,"Davis, K. J., D. H. Lenschow and P. R. Zimmerman (1994). ""Biogenic nonmethane hydrocarbon emissions from tethered balloon observations."" Journal of Geophysical Research 99: 25,587-525,598."
88,Davis1996,Davis,1996,unpublished BOREAS results
304,Davison2009,Davison,2009,"37. B. Davison, R. Taipale, B. Langford, P. Misztal, S. Fares, G. Matteucci, F. Loreto, J. N. Cape, J. Rinne, and C. N. Hewitt, ?Concentrations and fluxes of biogenic volatile organic compounds above a Mediterranean macchia ecosystem in western Italy,? Biogeosciences, 6, 1655-1670, 2009."
198,De Moraes2001,De Moraes,2001,"274. C. M. De Moraes, M. C. Mescher, and J. H. Tumlinson, ?Caterpillar-induced nocturnal plant volatiles repel conspecific females,? Nature, 410, 577-580, 2001."
9,Dement1975,Dement,1975,"W. A. Dement, B. J. Tyson, and H. A. Mooney, ?Mechanism of Monoterpene Volatilization in Salvia-Mellifera,? Phytochemistry, 14, 2555-2557, 1975."
329,DiGangi2011,DiGangi,2011,"39. J. P. DiGangi, E. S. Boyle, T. Karl, P. Harley, A. Turnipseed, S. Kim, C. Cantrell, R. L. Maudlin III, W. Zheng, F. Flocke, S. R. Hall, K. Ullmann, Y. Nakashima, J. B. Paul, G. M. Wolfe, A. R. Desai, Y. Kajii, A. Guenther, and F. N. Keutsch,? First direct measurements of formaldehyde flux via eddy covariance: implications for missing in-canopy formaldehyde sources. Atmos. Chem. Phys., 11, 10565-10578, 2011."
268,Dindorf2006,Dindorf,2006,"40. T. Dindorf, U. Kuhn, L. Ganzeveld, G. Schebeske, P. Ciccioli, C. Holzke, R. Koble, G. Seufert, and J. Kesselmeier, ?Significant light and temperature dependent monoterpene emissions from European beech (Fagus sylvatica L.) and their potential impact on the European volatile organic compound budget,? Journal of Geophysical Research-Atmospheres, 111, doi 10.1029/2005jd006751, 2006."
278,Dominguez-Taylor2007,Dominguez-Taylor,2007,"41. P. Dominguez-Taylor, L. G. Ruiz-Suarez, I. Rosas-Perez, J. M. Hernandez-Solis, and R. Steinbrecher, ?Monoterpene and isoprene emissions from typical tree species in forests around Mexico City,? Atmospheric Environment, 41, 2780-2790, 2007."
89,Donoso1996,Donoso,1996,"190. L. Donoso, R. Romero, A. Rondon, E. Fernandez, P. Oyola, and E. Sanhueza, ?Natural and anthropogenic C2 to C6 hydrocarbons in the central-eastern Venezuelan atmosphere during the rainy season,? J. Atmos. Chem., 25, 201-214, 1996."
149,Doskey1999,Doskey,1999,"42. P. V. Doskey and W. G. Gao, ?Vertical mixing and chemistry of isoprene in the atmospheric boundary layer: Aircraft-based measurements and numerical modeling, ? Journal of Geophysical Research-Atmospheres, 104, 21263-21274, 1999."
128,Drewitt1998,Drewitt,1998,"Drewitt, G. B., K. Curren, D. G. Steyn, T. J. Gillespie and H. Niki (1998). ""Measurement of biogenic hydrocarbon emissions from vegetation in the lower fraser valley, British Columbia."" Atmospheric Environment 32(20): 3457-3466."
305,Ekberg2009,Ekberg,2009,"232. A. Ekberg,ˇA. Arneth,ˇH. Hakola,ˇS. Hayward,ˇ and T. Holst,ˇ?Isoprene emission from wetland sedges,? Biogeosciences, 6, 601-613, doi:10.5194/bg-6-601-2009, 2009."
330,Ekberg2011,Ekberg,2011,"233. A. Ekberg, A. Arneth, and T. Holst, ?Isoprene emission from Sphagnum species occupying different growth positions above the water table,? Boreal Environment Research, 16, 47-59, 2011."
398,Eller 2016,Eller ,2016,"A.S.D. Eller, L.Y. Young, A.M. Trowbridge and R.K. Monson, ""Differential controls by climate and physiology over the emission rates of biogenic volatile organic compounds from mature trees in a semi?arid pine forest"", Oecologia, 2016, 180: 345-358. "
331,Eller2011,Eller,2011,"275. A. Eller, K. Sekimoto, J. B. Gilman, W. C. Kuster, J. A. de Gouw, R. K. Monson, M. Graus, E. Crespo, C. Warneke, and R. Fall, ?Volatile organic compound emissions from switchgrass cultivars used as biofuel crops,? Atmospheric Environment, 45, 3333-3337, 2011."
347,Eller2012,Eller,2012,"Eller, A. S. D., J. de Gouw, M. Graus and R. K. Monson (2012). ""Variation among different genotypes of hybrid poplar with regard to leaf volatile organic compound emissions."" Ecological Applications 22(7): 1865-1875."
44,Ennis1990,Ennis,1990,Ennis et al. Flux determinations and physiological response in the exposure of Red spruce to gaseous hydrogen peroxide; ozone; and sulphur dioxide
401,Esposito2016,Esposito,2016,"R. Esposito, I. Lusini, K. Vecerova, P. Holisova, E. Pallozzi, G. Guidolotti, O. Urban and C. Calfapietra. ""Shoot-level terpenoids emission in Norway spruce (Picea abies) under natural field and manipulated laboratory conditions"", Plant Physiology and Biochemistry, 2016, 108: 530-538."
17,Evans1982,Evans,1982,"R. C. Evans, D. T. Tingey, M. L. Gumpertz, and W. F. Burns, ""Estimates of Isoprene and Monoterpene Emission Rates in Plants,"" Bot Gaz 143 (3), 304-310 (1982)."
27,Evans1985,Evans,1985,"Evans, R. C., D. T. Tingey and M. L. Gumpertz (1985). ""Interspecies Variation in Terpenoid Emissions from Engelmann and Sitka Spruce Seedlings."" Forest Science 31(1): 132-142."
420,Faiola2015,Faiola,2015,"C.L. Faiola, B.T. Jobson and T.M. VanReken, ""Impacts of simulated herbivory on volatile organic compound emission profiles from coniferous plants"", Biogeosciences, 2015, 12: 527-547."
56,Fall1992,Fall,1992,"Fall, R. and R. K. Monson (1992). ""Isoprene Emission Rate and Intercellular Isoprene Concentration as Influenced by Stomatal Distribution and Conductance."" Plant Physiology 100(2): 987-992."
199,Fall2001,Fall,2001,"Fall, R., T. Karl, A. Jordon and W. Lindinger (2001). ""Biogenic C5VOCs: release from leaves after freeze-thaw wounding and occurrence in air at a high mountain observatory."" Atmospheric Environment 35(22): 3905-3916."
90,Fang1996,Fang,1996,"Fang, C. W., R. K. Monson and E. B. Cowling (1996). ""Isoprene emission, photosynthesis, and growth in sweetgum (Liquidambar styraciflua) seedlings exposed to short- and long-term drying cycles."" Tree Physiology 16(4): 441-446."
418,Fares2009,Fares,2009,"""The ACCENT-VOCBAS field campaign on biosphere-atmosphere interactions in a Mediterranean ecosystem of Castelporziano (Rome): site characteristics, climatic and meteorological conditions, and eco-physiology of vegetation"", Biogeosciences, 009, 6: 1043-1058. "
348,Fares2012,Fares,2012,"44. S. Fares, J. H. Park, D. R. Gentner, R. Weber, E. Ormeno, J. Karlik, and A. H. Goldstein, ""Seasonal cycles of biogenic volatile organic compound fluxes and concentrations in a California citrus orchard,"" Atmospheric Chemistry and Physics 12 (20), 9865-9880 (2012)."
359,Fares2013,Fares,2013,"Fares, S., R. Schnitzhofer, X. Jiang, A. Guenther, A. Hansel and F. Loreto (2013). ""Observations of Diurnal to Weekly Variations of Monoterpene-Dominated Fluxes of Volatile Organic Compounds from Mediterranean Forests: Implications for Regional Modeling."" Environmental Science & Technology 47(19): 11073-11082."
316,Faubert2010,Faubert,2010,"234. P. Faubert, P. Tiiva, è. Rinnan, A. Michelsen, J. K. Holopainen, and R. Rinnan, ""Doubled volatile organic compound emissions from subarctic tundra under simulated climate warming,"" New Phytologist 187: 199?208. doi: 10.1111/j.1469-8137.2010.03270.x, (2010)."
384,Fellner2016,Fellner,2016,"Fellner, H., Dirnberger, G. F., and Sterba, H.: Specific leaf area of European Larch (Larix decidua Mill.), Trees (Berlin, Germany : West), 30, 1237-1244, 10.1007/s00468-016-1361-1, 2016."
279,Filella2007,Filella,2007,"235. I. Filella, M. J. Wilkinson, J. Llusia, C. N. Hewitt, and J. Penuelas, ""Volatile organic compounds emissions in Norway spruce (Picea abies) in response to temperature changes,"" Physiologia Plantarum 130 (1), 58-66 (2007)."
129,Fruekilde1998,Fruekilde,1998,"45. P. Fruekilde, J. Hjorth, N.R. Jensen, D. Kotzias, and B. Larsen, ""Ozonolysis at vegetation surfaces: A source of acetone, 4-oxopentanal, 6-methyl-5-hepten-2-one and geranyl acetone,"" Atmos. Environ. 32 (11), 1893-1902 (1998)."
80,Fuentes1995,Fuentes,1995,"46. J. D. Fuentes, D. Wang; G. Den Hartog; H. Neumann.; T. Dann, K. Puckett, ""Modelled and field measurements of biogenic hydrocarbon emissions from a Canadian deciduous forest,"" Atmospheric Environment 29 (21), 3003-3017 (1995)."
91,Fuentes1996,Fuentes,1996,"47. J. D. Fuentes, D. Wang, H. H. Neumann, T. J. Gillespie, G. DenHartog, and T. F. Dann, ""Ambient biogenic hydrocarbons and isoprene emissions from a mixed deciduous forest,"" Journal of Atmospheric Chemistry 25 (1), 67-95 (1996)."
150,Fuentes1999a,Fuentes,1999,"48. J. D. Fuentes and D. Wang, ""On the seasonality of isoprene emissions from a mixed temperate forest,"" Ecological Applications 9 (4), 1118-1131 (1999)."
151,Fuentes1999b,Fuentes,1999,"236. J. D. Fuentes, D. Wang, and L. Gu, ""Seasonal variations in isoprene emissions from a boreal aspen forest,"" Journal of Applied Meteorology 38 (7), 855-869 (1999b)."
130,Fukui1998,Fukui,1998,"49. Y. Fukui and P. V. Doskey, ""Air-surface exchange of nonmethane organic compounds at a grassland site: Seasonal variations and stressed emissions,"" Journal of geophysical research 103 (D11), 13 (1998)."
241,Funk2003,Funk,2003,"Funk, J. L., C. G. Jones, C. J. Baker, H. M. Fuller, C. P. Giardina and M. T. Lerdau (2003). ""Diurnal variation in the basal emission rate of isoprene."" Ecological applications : a publication of the Ecological Society of America 13(1): 269."
173,Gallagher2000,Gallagher,2000,"Gallagher, M. W., R. Clayborough, K. M. Beswick, C. N. Hewitt, S. Owen, J. Moncrieff and K. Pilegaard (2000). ""Assessment of a relaxed eddy accumulation for measurements of fluxes of biogenic volatile organic compounds: study over arable crops and a mature beech forest."" Atmospheric Environment 34(18): 2887-2899."
385,Garnier1997,Garnier,1997,"Garnier, E., Cordonnier, P., Guillerm, J. L., Soni, xe, and L.: Specific Leaf Area and Leaf Nitrogen Concentration in Annual and Perennial Grass Species Growing in Mediterranean Old-Fields, Oecologia, 111, 490-498, 1997."
365,Genard-Zielinski2014,Genard-Zielinski,2014,"Genard-Zielinski, A. C., E. Ormeno, C. Boissard and C. Fernandez (2014). ""Isoprene Emissions from Downy Oak under Water Limitation during an Entire Growing Season: What Cost for Growth?"" Plos One 9(11)."
424,Genard-Zielinski2015,Genard-Zielinski,2015,"A.C. Genard-Zielinski, C. Boissard, C. Fernandez, C. Kalogridis, J. Lathiere, V. Gros, N. Bonnaire and E. Ormeno. ""Variability of BVOC emissions from a Mediterranean mixed forest in southern France with a focus on Quercus pubescens"", Atmospheric Chemistry and Physics, 2015, 15: 431-446."
332,Geng2011,Geng,2011,"50. F. Geng, X. Tie, A. Guenther, G. Li, J. Cao, and P. Harley, ""Effect of isoprene emissions from major forests on ozone formation in the city of Shanghai, China,"" Atmospheric Chemistry and Physics 11 (20), 10449-10459 (2011)."
436,Gentner2014,Gentner,2014,"D. R. Gentner, E. OrmeÒo, S. Fares, T. B. Ford, R. Weber, J.-H. Park, Brioude, W. M. Angevine, J. F. Karlik, and A. H. Goldstein. ì""Emissions of terpenoids, benzenoids, and other biogenic gas-phase organic compounds from agricultural crops and their potential implications for air qualityî, Atmospheric Chemistry and Physics, 2014, 14: 5393-5413."
386,Geron1994,Geron,1994,"Geron, C. D., Guenther, A. B., and Pierce, T. E.: An Improved Model for Estimating Emissions of Volatile Organic-Compounds from Forests in the Eastern United-States, J Geophys Res-Atmos, 99, 12773-12791, 1994."
109,Geron1997,Geron,1997,"51. C. D. Geron, D. Nie, R. R. Arnts, T. D. Sharkey, E. L. Singsaas, P. J. Vanderveer, A. Guenther, J. E. Sickles, and T. E. Kleindienst, ""Biogenic isoprene emission: Model evaluation in a southeastern United States bottomland deciduous forest,"" J Geophys Res-Atmos 102 (D15), 18889-18901 (1997)."
174,Geron2000a,Geron,2000,"52. C. Geron, A. Guenther, T. Sharkey, and R. R. Arnts, ""Temporal variability in basal isoprene emission factor,"" Tree Physiology 20 (12), 799-805 (2000)."
175,Geron2000b,Geron,2000,"53. C. Geron, R. Rasmussen, R. R. Arnts, and A. Guenther, ""A review and synthesis of monoterpene speciation from forests in the United States,"" Atmospheric Environment 34 (11), 1761-1781 (2000)."
200,Geron2001,Geron,2001,"54. C. Geron, P. Harley, and A. Guenther, ""Isoprene emission capacity for US tree species,"" Atmospheric Environment 35 (19), 3341-3352 (2001)."
