VegID,Veg_Description,Common_Name,genus,Family,GrowthForm,Lifespan,specific type,Comment
61,Abronia pogonantha,Mojave sand verbena,Abronia,Nyctaginaceae,Herb,Short,1,Forb
62,Abronia turbinata,transmontane sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
63,Abronia umbellata,pink sand verbena,Abronia,Nyctaginaceae,Shrub,Long,1,Vine
64,Abronia umbellata ssp. breviflora,pink sand verbena,Abronia,Nyctaginaceae,Shrub,Long,1,Vine
65,Abronia umbellata ssp. umbellata,pink sand verbena,Abronia,Nyctaginaceae,Herb,Moderate,1,Forb
66,Abronia villosa,desert sand verbena,Abronia,Nyctaginaceae,Herb,Short,1,Forb
67,Abronia villosa var. aurita,desert sand verbena,Abronia,Nyctaginaceae,Herb,Short,1,Forb
68,Abronia villosa var. villosa,desert sand verbena,Abronia,Nyctaginaceae,Herb,Short,1,Forb
69,Abrus,abrus,Abrus,Fabaceae,Shrub,Long,1,Vine
70,Abrus precatorius,rosarypea,Abrus,Fabaceae,Shrub,Long,1,Vine
71,Abuta panamensis,,Abuta,Menispermaceae,Shrub,Moderate,1,Vine
72,Abutilon,Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
73,Abutilon abutiloides,shrubby Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
74,Abutilon auritum,Asian Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
75,Abutilon berlandieri,Berlandier's Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
76,Abutilon eremitopetalum,hiddenpetal Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
77,Abutilon fruticosum,Texas Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
78,Abutilon glabriflorum,,Abutilon,Malvaceae,Unknown,Moderate,1,Unknown
79,Abutilon grandifolium,hairy Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
80,Abutilon hirtum,Florida Keys Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
81,Abutilon hulseanum,mauve,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
82,Abutilon hypoleucum,whiteleaf Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
83,Abutilon incanum,pelotazo,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
84,Abutilon indicum,monkeybush,Abutilon,Malvaceae,Shrub,Long,1,Shrub
85,Abutilon malacum,yellow Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
86,Abutilon mauritianum,,Abutilon,Malvaceae,Unknown,Moderate,1,Unknown
87,Abutilon megapotamicum,trailing abutilon,Abutilon,Malvaceae,Unknown,Moderate,1,Unknown
88,Abutilon menziesii,ko'oloa 'ula,Abutilon,Malvaceae,Shrub,Long,1,Shrub
89,Abutilon mollicomum,Sonoran Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
90,Abutilon palmeri,Palmer's Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
91,Abutilon parishii,Parish's Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
92,Abutilon parvulum,dwarf Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
93,Abutilon permolle,coastal Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
94,Abutilon reventum,yellowflower Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
95,Abutilon sandwicense,greenflower Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
96,Abutilon theophrasti,velvetleaf,Abutilon,Malvaceae,Herb,Short,1,Forb
97,Abutilon thurberi,Thurber's Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
98,Abutilon trisulcatum,anglestem Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Shrub
99,Abutilon wrightii,Wright's Indian mallow,Abutilon,Malvaceae,Shrub,Long,1,Subshrub
100,Acacia,acacia,Acacia,Fabaceae,Btr,Long,1,Tree
101,Acacia abyssinica,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
102,Acacia abyssinica ssp. calophylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
103,Acacia acinacea,gold-dust acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
104,Acacia aciphylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
105,Acacia aculeatissima,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
106,Acacia acuminata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
107,Acacia adunca,Wallangarra wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
108,Acacia alata,winged wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
109,Acacia amara,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
110,Acacia ampliceps,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
111,Acacia anegadensis,blackbrush wattle,Acacia,Fabaceae,Btr,Long,1,Tree
112,Acacia aneura,mulga,Acacia,Fabaceae,Btr,Long,1,Tree
113,Acacia angustissima,prairie acacia,Acacia,Fabaceae,Shrub,Long,1,Subshrub
114,Acacia angustissima var. chisosiana,Chisos prairie acacia,Acacia,Fabaceae,Shrub,Long,1,Subshrub
115,Acacia angustissima var. hirta,prairie acacia,Acacia,Fabaceae,Shrub,Long,1,Subshrub
116,Acacia angustissima var. shrevei,Shreve's prairie acacia,Acacia,Fabaceae,Shrub,Long,1,Subshrub
117,Acacia angustissima var. suffrutescens,prairie acacia,Acacia,Fabaceae,Shrub,Long,1,Subshrub
118,Acacia angustissima var. texensis,prairie wattle,Acacia,Fabaceae,Shrub,Long,1,Subshrub
119,Acacia arenaria,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
120,Acacia auculaeformis,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
121,Acacia auriculiformis,earleaf acacia,Acacia,Fabaceae,Btr,Long,1,Tree
122,Acacia baileyana,cootamundra wattle,Acacia,Fabaceae,Btr,Long,1,Tree
123,Acacia beckleri,Barrier Range wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
124,Acacia berlandieri,guajillo,Acacia,Fabaceae,Btr,Long,1,Tree
125,Acacia binervata,two-vein-hickory,Acacia,Fabaceae,Btr,Moderate,1,Unknown
126,Acacia boomanii,Snowy River wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
127,Acacia borleae,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
128,Acacia brachybotrya,gray mulga,Acacia,Fabaceae,Btr,Moderate,1,Unknown
129,Acacia burkei,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
130,Acacia buxifolia,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
131,Acacia caesiella,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
132,Acacia caffra,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
133,Acacia calamifolia,broom wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
134,Acacia cambagei,gidgee,Acacia,Fabaceae,Btr,Moderate,1,Unknown
135,Acacia cardiophylla,wyalong wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
136,Acacia catechu,black cutch,Acacia,Fabaceae,Btr,Moderate,1,Unknown
137,Acacia caven,Roman-cassie,Acacia,Fabaceae,Btr,Moderate,1,Unknown
138,Acacia chinchellensis,Chinchilla wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
139,Acacia choriophylla,cinnecord,Acacia,Fabaceae,Btr,Long,1,Tree
140,Acacia cibaria,turpentine mulga,Acacia,Fabaceae,Btr,Moderate,1,Unknown
141,Acacia cognata,bower wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
142,Acacia colletioides,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
143,Acacia collinsii,bull horn acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
144,Acacia confusa,small Philippine acacia,Acacia,Fabaceae,Btr,Long,1,Tree
145,Acacia conspersa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
146,Acacia constricta,whitethorn acacia,Acacia,Fabaceae,Btr,Long,1,Tree
147,Acacia constricta var. constricta,whitethorn acacia,Acacia,Fabaceae,Btr,Long,1,Tree
148,Acacia constricta var. paucispina,whitethorn acacia,Acacia,Fabaceae,Btr,Long,1,Tree
149,Acacia continua,thorn wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
150,Acacia cornigera,bullhorn wattle,Acacia,Fabaceae,Btr,Long,1,Tree
151,Acacia craspedocarpa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
152,Acacia crassiramia,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
153,Acacia cultriformis,knife acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
154,Acacia cupularis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
155,Acacia cyclops,coastal wattle,Acacia,Fabaceae,Shrub,Long,1,Shrub
156,Acacia davyi,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
157,Acacia dealbata,silver wattle,Acacia,Fabaceae,Btr,Long,1,Tree
158,Acacia deanei,Deane's wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
159,Acacia deanei ssp. paucijuga,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
160,Acacia decora,graceful wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
161,Acacia decurrens,green wattle,Acacia,Fabaceae,Btr,Long,1,Tree
162,Acacia dietrichiana,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
163,Acacia difformis,drooping wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
164,Acacia doratoxylon,spearwood,Acacia,Fabaceae,Btr,Moderate,1,Unknown
165,Acacia drummondii,Drummond's wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
166,Acacia dunnii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
167,Acacia eburnea,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
168,Acacia elata,cedar wattle,Acacia,Fabaceae,Btr,Long,1,Tree
169,Acacia erioloba,camelthorn,Acacia_MT,Fabaceae,Btr,Moderate,1,Unknown
170,Acacia erubescens,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
171,Acacia estrophiolata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
172,Acacia extensa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
173,Acacia farnesiana,sweet acacia,Acacia,Fabaceae,Btr,Long,1,Tree
174,Acacia fimbriata,fringed wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
175,Acacia floribunda,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
176,Acacia galpinii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
177,Acacia genistifolia,early wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
178,Acacia gerrardii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
179,Acacia gladiiformis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
180,Acacia glandulicarpa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
181,Acacia glauca,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
182,Acacia goetzei,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
183,Acacia gracilifolia,graceful wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
184,Acacia greggii,catclaw acacia,Acacia,Fabaceae,Btr,Long,1,Tree
185,Acacia greggii var. greggii,catclaw acacia,Acacia,Fabaceae,Btr,Long,1,Tree
186,Acacia greggii var. wrightii,catclaw acacia,Acacia,Fabaceae,Btr,Long,1,Tree
187,Acacia guachapele,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
188,Acacia hakeoides,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
189,Acacia hebeclada,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
190,Acacia hemiteles,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
191,Acacia holosericea,candelabra wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
192,Acacia horrida,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
193,Acacia howittii,sticky wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
194,Acacia imbricata,imbricate wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
195,Acacia implexa,screw-pod wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
196,Acacia intsia,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
197,Acacia irrorata,green wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
198,Acacia iteaphylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
199,Acacia ixiophylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
200,Acacia jibberdingensis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
201,Acacia jonesii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
202,Acacia julibrissin,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
203,Acacia karroo,karroothorn,Acacia,Fabaceae,Btr,Moderate,1,Unknown
204,Acacia koa,koa,Acacia,Fabaceae,Btr,Long,1,Tree
205,Acacia koaia,koaoha,Acacia,Fabaceae,Btr,Long,1,Tree
206,Acacia lanuginophylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
207,Acacia lasiocalyx,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
208,Acacia leiophylla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
209,Acacia ligulata,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
210,Acacia lineata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
211,Acacia longifolia,Sydney golden wattle,Acacia,Fabaceae,Btr,Long,1,Tree
212,Acacia longifolia ssp. sophorae,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
213,Acacia longissima,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
214,Acacia lucidior,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
215,Acacia macracantha,porknut,Acacia,Fabaceae,Btr,Long,1,Tree
216,Acacia maidenii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
217,Acacia mangium,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
218,Acacia mearnsii,black wattle,Acacia,Fabaceae,Btr,Long,1,Tree
219,Acacia melanoxylon,blackwood,Acacia,Fabaceae,Btr,Long,1,Tree
220,Acacia mellifera,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
221,Acacia mellifera ssp. detinens,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
222,Acacia merrallii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
223,Acacia microbotrya,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
224,Acacia microcarpa,manna wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
225,Acacia millefolia,milfoil wattle,Acacia,Fabaceae,Btr,Long,1,Tree
226,Acacia montana,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
227,Acacia mucronata,narrow-leaf wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
228,Acacia multispicata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
229,Acacia muricata,spineless wattle,Acacia,Fabaceae,Btr,Long,1,Tree
230,Acacia myrtifolia,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
231,Acacia neovernicosa,viscid acacia,Acacia,Fabaceae,Shrub,Long,1,Shrub
232,Acacia neriifolia,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
233,Acacia nigrescens,knobthorn,Acacia_ISO,Fabaceae,Btr,Moderate,1,Unknown
234,Acacia nilotica,gum arabic tree,Acacia,Fabaceae,Btr,Long,1,Tree
235,Acacia nilotica ssp. adstringens,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
236,Acacia nilotica ssp. kraussiana,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
237,Acacia notabilis,notable wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
238,Acacia omalophylla,yarran,Acacia,Fabaceae,Btr,Moderate,1,Unknown
239,Acacia oswaldii,umbrella acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
240,Acacia oxycedrus,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
241,Acacia pachyceras,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
242,Acacia pachyceras var. najdensis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
243,Acacia papyrocarpa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
244,Acacia paradoxa,paradox acacia,Acacia,Fabaceae,Shrub,Long,1,Shrub
245,Acacia parramattensis,South Wales wattle,Acacia,Fabaceae,Btr,Long,1,Tree
246,Acacia parvipinnula,silver-stem wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
247,Acacia pendula,myall acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
248,Acacia pennata,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
249,Acacia pennatula,fern-leaf acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
250,Acacia penninervis,blackwood,Acacia,Fabaceae,Btr,Moderate,1,Unknown
251,Acacia pentagona,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
252,Acacia pinetorum,pineland wattle,Acacia,Fabaceae,Btr,Long,1,Tree
253,Acacia podalyriaefolia,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
254,Acacia podalyriifolia,pearl wattle,Acacia,Fabaceae,Btr,Long,1,Tree
255,Acacia polyacantha,catechu tree,Acacia,Fabaceae,Btr,Long,1,Tree
256,Acacia polyacantha ssp. campylacantha,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
257,Acacia pravissima,wedge-leaf wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
258,Acacia prominens,goldenrain wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
259,Acacia pruinosa,frosty wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
260,Acacia pulchella,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
261,Acacia pycnantha,golden wattle,Acacia_ISO,Fabaceae,Btr,Long,1,Tree
262,Acacia pyrifolia,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
263,Acacia quornensis,quorn wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
264,Acacia ramulosa,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
265,Acacia redolens,bank catclaw,Acacia,Fabaceae,Shrub,Long,1,Shrub
266,Acacia rehmanniana,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
267,Acacia retinodes,water wattle,Acacia,Fabaceae,Btr,Long,1,Tree
268,Acacia retusa,catch and keep,Acacia,Fabaceae,Btr,Long,1,Tree
269,Acacia richii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
270,Acacia rigens,nealie,Acacia,Fabaceae,Btr,Moderate,1,Unknown
271,Acacia rigidula,blackbrush acacia,Acacia,Fabaceae,Btr,Long,1,Tree
272,Acacia rivalis,creek wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
273,Acacia robusta,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
274,Acacia roemeriana,roundflower catclaw,Acacia,Fabaceae,Btr,Long,1,Tree
275,Acacia rossei,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
276,Acacia rubida,red-leaf wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
277,Acacia rubusta,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
278,Acacia rupicola,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
279,Acacia saliciformis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
280,Acacia salicina,cooba,Acacia,Fabaceae,Btr,Moderate,1,Unknown
281,Acacia saligna,orange wattle,Acacia,Fabaceae,Btr,Long,1,Tree
282,Acacia schaffneri,Schaffner's wattle,Acacia,Fabaceae,Shrub,Long,1,Shrub
283,Acacia schaffneri var. bravoensis,Schaffner's wattle,Acacia,Fabaceae,Shrub,Long,1,Shrub
284,Acacia schaffneri var. schaffneri,Schaffner's wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
285,Acacia schottii,Schott's wattle,Acacia,Fabaceae,Shrub,Long,1,Shrub
286,Acacia schweinfurthii,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
287,Acacia sclerosperma,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
288,Acacia scleroxyla,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
289,Acacia senegal,gum arabic,Acacia,Fabaceae,Btr,Moderate,1,Unknown
290,Acacia senegal var. rostrata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
291,Acacia seyal,talh,Acacia,Fabaceae,Btr,Moderate,1,Unknown
292,Acacia sieberana,,Acacia,Fabaceae,Btr,Unknown,1,Unknown
293,Acacia sieberiana,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
294,Acacia sieberiana var. woodii,paperbark-thorn,Acacia,Fabaceae,Btr,Moderate,1,Unknown
295,Acacia silvestris,red wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
296,Acacia sophorae,acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
297,Acacia spectabilis,glory wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
298,Acacia sphaerocephala,bee wattle,Acacia,Fabaceae,Btr,Long,1,Tree
299,Acacia stenophylla,Dalby myall,Acacia,Fabaceae,Btr,Moderate,1,Unknown
300,Acacia stowardii,bastard mulga,Acacia,Fabaceae,Btr,Moderate,1,Unknown
301,Acacia stricta,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
302,Acacia suaveolens,sweet acacia,Acacia,Fabaceae,Btr,Moderate,1,Unknown
303,Acacia sublanata,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
304,Acacia subulata,awl-leaf wattle,Acacia,Fabaceae,Btr,Moderate,1,Unknown
305,Acacia swazica,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
306,Acacia terminalis,,Acacia,Fabaceae,Btr,Moderate,1,Unknown
307,Acacia tetragonophylla,dead finish,Acacia,Fabaceae,Btr,Moderate,1,Unknown
308,Acacia tortilis,umbrella thorn,Acacia,Fabaceae,Btr,Moderate,1,Unknown
